Name1	Name	Desc	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	V1	added
A179	A17.9	Tuberculosis of nervous system, unspecified	Root	A00-B99	A15-A19	A17	A17.9				A179    Tuberculosis of nervous system, unspecified	0
A18	A18	Tuberculosis of other organs	Root	A00-B99	A15-A19	A18					NA	0
A180	A18.0	Tuberculosis of bones and joints	Root	A00-B99	A15-A19	A18	A18.0				NA	0
A1801	A18.01	Tuberculosis of spine	Root	A00-B99	A15-A19	A18	A18.0	A18.01			A1801   Tuberculosis of spine	0
A1802	A18.02	Tuberculous arthritis of other joints	Root	A00-B99	A15-A19	A18	A18.0	A18.02			A1802   Tuberculous arthritis of other joints	0
A1803	A18.03	Tuberculosis of other bones	Root	A00-B99	A15-A19	A18	A18.0	A18.03			A1803   Tuberculosis of other bones	0
A1809	A18.09	Other musculoskeletal tuberculosis	Root	A00-B99	A15-A19	A18	A18.0	A18.09			A1809   Other musculoskeletal tuberculosis	0
A181	A18.1	Tuberculosis of genitourinary system	Root	A00-B99	A15-A19	A18	A18.1				NA	0
A1810	A18.10	Tuberculosis of genitourinary system, unspecified	Root	A00-B99	A15-A19	A18	A18.1	A18.10			A1810   Tuberculosis of genitourinary system, unspecified	0
A1811	A18.11	Tuberculosis of kidney and ureter	Root	A00-B99	A15-A19	A18	A18.1	A18.11			A1811   Tuberculosis of kidney and ureter	0
A1812	A18.12	Tuberculosis of bladder	Root	A00-B99	A15-A19	A18	A18.1	A18.12			A1812   Tuberculosis of bladder	0
A1813	A18.13	Tuberculosis of other urinary organs	Root	A00-B99	A15-A19	A18	A18.1	A18.13			A1813   Tuberculosis of other urinary organs	0
A1814	A18.14	Tuberculosis of prostate	Root	A00-B99	A15-A19	A18	A18.1	A18.14			A1814   Tuberculosis of prostate	0
A1815	A18.15	Tuberculosis of other male genital organs	Root	A00-B99	A15-A19	A18	A18.1	A18.15			A1815   Tuberculosis of other male genital organs	0
A1816	A18.16	Tuberculosis of cervix	Root	A00-B99	A15-A19	A18	A18.1	A18.16			A1816   Tuberculosis of cervix	0
A1817	A18.17	Tuberculous female pelvic inflammatory disease	Root	A00-B99	A15-A19	A18	A18.1	A18.17			A1817   Tuberculous female pelvic inflammatory disease	0
A1818	A18.18	Tuberculosis of other female genital organs	Root	A00-B99	A15-A19	A18	A18.1	A18.18			A1818   Tuberculosis of other female genital organs	0
A182	A18.2	Tuberculous peripheral lymphadenopathy	Root	A00-B99	A15-A19	A18	A18.2				A182    Tuberculous peripheral lymphadenopathy	0
A183	A18.3	Tuberculosis of intestines, peritoneum and mesenteric glands	Root	A00-B99	A15-A19	A18	A18.3				NA	0
A1831	A18.31	Tuberculous peritonitis	Root	A00-B99	A15-A19	A18	A18.3	A18.31			A1831   Tuberculous peritonitis	0
A1832	A18.32	Tuberculous enteritis	Root	A00-B99	A15-A19	A18	A18.3	A18.32			A1832   Tuberculous enteritis	0
A1839	A18.39	Retroperitoneal tuberculosis	Root	A00-B99	A15-A19	A18	A18.3	A18.39			A1839   Retroperitoneal tuberculosis	0
A184	A18.4	Tuberculosis of skin and subcutaneous tissue	Root	A00-B99	A15-A19	A18	A18.4				A184    Tuberculosis of skin and subcutaneous tissue	0
A185	A18.5	Tuberculosis of eye	Root	A00-B99	A15-A19	A18	A18.5				NA	0
A1850	A18.50	Tuberculosis of eye, unspecified	Root	A00-B99	A15-A19	A18	A18.5	A18.50			A1850   Tuberculosis of eye, unspecified	0
A1851	A18.51	Tuberculous episcleritis	Root	A00-B99	A15-A19	A18	A18.5	A18.51			A1851   Tuberculous episcleritis	0
A1852	A18.52	Tuberculous keratitis	Root	A00-B99	A15-A19	A18	A18.5	A18.52			A1852   Tuberculous keratitis	0
A1853	A18.53	Tuberculous chorioretinitis	Root	A00-B99	A15-A19	A18	A18.5	A18.53			A1853   Tuberculous chorioretinitis	0
A1854	A18.54	Tuberculous iridocyclitis	Root	A00-B99	A15-A19	A18	A18.5	A18.54			A1854   Tuberculous iridocyclitis	0
A1859	A18.59	Other tuberculosis of eye	Root	A00-B99	A15-A19	A18	A18.5	A18.59			A1859   Other tuberculosis of eye	0
A186	A18.6	Tuberculosis of (inner) (middle) ear	Root	A00-B99	A15-A19	A18	A18.6				A186    Tuberculosis of (inner) (middle) ear	0
A187	A18.7	Tuberculosis of adrenal glands	Root	A00-B99	A15-A19	A18	A18.7				A187    Tuberculosis of adrenal glands	0
A188	A18.8	Tuberculosis of other specified organs	Root	A00-B99	A15-A19	A18	A18.8				NA	0
A1881	A18.81	Tuberculosis of thyroid gland	Root	A00-B99	A15-A19	A18	A18.8	A18.81			A1881   Tuberculosis of thyroid gland	0
A1882	A18.82	Tuberculosis of other endocrine glands	Root	A00-B99	A15-A19	A18	A18.8	A18.82			A1882   Tuberculosis of other endocrine glands	0
A1883	A18.83	Tuberculosis of digestive tract organs, not elsewhere classified	Root	A00-B99	A15-A19	A18	A18.8	A18.83			A1883   Tuberculosis of digestive tract organs, not elsewhere classified	0
A1884	A18.84	Tuberculosis of heart	Root	A00-B99	A15-A19	A18	A18.8	A18.84			A1884   Tuberculosis of heart	0
A1885	A18.85	Tuberculosis of spleen	Root	A00-B99	A15-A19	A18	A18.8	A18.85			A1885   Tuberculosis of spleen	0
A1889	A18.89	Tuberculosis of other sites	Root	A00-B99	A15-A19	A18	A18.8	A18.89			A1889   Tuberculosis of other sites	0
A19	A19	Miliary tuberculosis	Root	A00-B99	A15-A19	A19					NA	0
A190	A19.0	Acute miliary tuberculosis of a single specified site	Root	A00-B99	A15-A19	A19	A19.0				A190    Acute miliary tuberculosis of a single specified site	0
A191	A19.1	Acute miliary tuberculosis of multiple sites	Root	A00-B99	A15-A19	A19	A19.1				A191    Acute miliary tuberculosis of multiple sites	0
A192	A19.2	Acute miliary tuberculosis, unspecified	Root	A00-B99	A15-A19	A19	A19.2				A192    Acute miliary tuberculosis, unspecified	0
A198	A19.8	Other miliary tuberculosis	Root	A00-B99	A15-A19	A19	A19.8				A198    Other miliary tuberculosis	0
A199	A19.9	Miliary tuberculosis, unspecified	Root	A00-B99	A15-A19	A19	A19.9				A199    Miliary tuberculosis, unspecified	0
A20	A20	Plague	Root	A00-B99	A20-A28	A20					NA	0
A200	A20.0	Bubonic plague	Root	A00-B99	A20-A28	A20	A20.0				A200    Bubonic plague	0
A201	A20.1	Cellulocutaneous plague	Root	A00-B99	A20-A28	A20	A20.1				A201    Cellulocutaneous plague	0
A202	A20.2	Pneumonic plague	Root	A00-B99	A20-A28	A20	A20.2				A202    Pneumonic plague	0
A203	A20.3	Plague meningitis	Root	A00-B99	A20-A28	A20	A20.3				A203    Plague meningitis	0
A207	A20.7	Septicemic plague	Root	A00-B99	A20-A28	A20	A20.7				A207    Septicemic plague	0
A208	A20.8	Other forms of plague	Root	A00-B99	A20-A28	A20	A20.8				A208    Other forms of plague	0
A209	A20.9	Plague, unspecified	Root	A00-B99	A20-A28	A20	A20.9				A209    Plague, unspecified	0
A21	A21	Tularemia	Root	A00-B99	A20-A28	A21					NA	0
A210	A21.0	Ulceroglandular tularemia	Root	A00-B99	A20-A28	A21	A21.0				A210    Ulceroglandular tularemia	0
A211	A21.1	Oculoglandular tularemia	Root	A00-B99	A20-A28	A21	A21.1				A211    Oculoglandular tularemia	0
A212	A21.2	Pulmonary tularemia	Root	A00-B99	A20-A28	A21	A21.2				A212    Pulmonary tularemia	0
A213	A21.3	Gastrointestinal tularemia	Root	A00-B99	A20-A28	A21	A21.3				A213    Gastrointestinal tularemia	0
A217	A21.7	Generalized tularemia	Root	A00-B99	A20-A28	A21	A21.7				A217    Generalized tularemia	0
A218	A21.8	Other forms of tularemia	Root	A00-B99	A20-A28	A21	A21.8				A218    Other forms of tularemia	0
A219	A21.9	Tularemia, unspecified	Root	A00-B99	A20-A28	A21	A21.9				A219    Tularemia, unspecified	0
A22	A22	Anthrax	Root	A00-B99	A20-A28	A22					NA	0
A220	A22.0	Cutaneous anthrax	Root	A00-B99	A20-A28	A22	A22.0				A220    Cutaneous anthrax	0
A221	A22.1	Pulmonary anthrax	Root	A00-B99	A20-A28	A22	A22.1				A221    Pulmonary anthrax	0
A222	A22.2	Gastrointestinal anthrax	Root	A00-B99	A20-A28	A22	A22.2				A222    Gastrointestinal anthrax	0
A227	A22.7	Anthrax sepsis	Root	A00-B99	A20-A28	A22	A22.7				A227    Anthrax sepsis	0
A228	A22.8	Other forms of anthrax	Root	A00-B99	A20-A28	A22	A22.8				A228    Other forms of anthrax	0
A229	A22.9	Anthrax, unspecified	Root	A00-B99	A20-A28	A22	A22.9				A229    Anthrax, unspecified	0
A23	A23	Brucellosis	Root	A00-B99	A20-A28	A23					NA	0
A230	A23.0	Brucellosis due to Brucella melitensis	Root	A00-B99	A20-A28	A23	A23.0				A230    Brucellosis due to Brucella melitensis	0
A231	A23.1	Brucellosis due to Brucella abortus	Root	A00-B99	A20-A28	A23	A23.1				A231    Brucellosis due to Brucella abortus	0
A232	A23.2	Brucellosis due to Brucella suis	Root	A00-B99	A20-A28	A23	A23.2				A232    Brucellosis due to Brucella suis	0
A233	A23.3	Brucellosis due to Brucella canis	Root	A00-B99	A20-A28	A23	A23.3				A233    Brucellosis due to Brucella canis	0
A238	A23.8	Other brucellosis	Root	A00-B99	A20-A28	A23	A23.8				A238    Other brucellosis	0
A239	A23.9	Brucellosis, unspecified	Root	A00-B99	A20-A28	A23	A23.9				A239    Brucellosis, unspecified	0
A24	A24	Glanders and melioidosis	Root	A00-B99	A20-A28	A24					NA	0
A240	A24.0	Glanders	Root	A00-B99	A20-A28	A24	A24.0				A240    Glanders	0
A241	A24.1	Acute and fulminating melioidosis	Root	A00-B99	A20-A28	A24	A24.1				A241    Acute and fulminating melioidosis	0
A242	A24.2	Subacute and chronic melioidosis	Root	A00-B99	A20-A28	A24	A24.2				A242    Subacute and chronic melioidosis	0
A243	A24.3	Other melioidosis	Root	A00-B99	A20-A28	A24	A24.3				A243    Other melioidosis	0
A249	A24.9	Melioidosis, unspecified	Root	A00-B99	A20-A28	A24	A24.9				A249    Melioidosis, unspecified	0
A25	A25	Rat-bite fevers	Root	A00-B99	A20-A28	A25					NA	0
A250	A25.0	Spirillosis	Root	A00-B99	A20-A28	A25	A25.0				A250    Spirillosis	0
A251	A25.1	Streptobacillosis	Root	A00-B99	A20-A28	A25	A25.1				A251    Streptobacillosis	0
A259	A25.9	Rat-bite fever, unspecified	Root	A00-B99	A20-A28	A25	A25.9				A259    Rat-bite fever, unspecified	0
A26	A26	Erysipeloid	Root	A00-B99	A20-A28	A26					NA	0
A260	A26.0	Cutaneous erysipeloid	Root	A00-B99	A20-A28	A26	A26.0				A260    Cutaneous erysipeloid	0
A267	A26.7	Erysipelothrix sepsis	Root	A00-B99	A20-A28	A26	A26.7				A267    Erysipelothrix sepsis	0
A268	A26.8	Other forms of erysipeloid	Root	A00-B99	A20-A28	A26	A26.8				A268    Other forms of erysipeloid	0
A269	A26.9	Erysipeloid, unspecified	Root	A00-B99	A20-A28	A26	A26.9				A269    Erysipeloid, unspecified	0
A27	A27	Leptospirosis	Root	A00-B99	A20-A28	A27					NA	0
A270	A27.0	Leptospirosis icterohemorrhagica	Root	A00-B99	A20-A28	A27	A27.0				A270    Leptospirosis icterohemorrhagica	0
A278	A27.8	Other forms of leptospirosis	Root	A00-B99	A20-A28	A27	A27.8				NA	0
A2781	A27.81	Aseptic meningitis in leptospirosis	Root	A00-B99	A20-A28	A27	A27.8	A27.81			A2781   Aseptic meningitis in leptospirosis	0
A2789	A27.89	Other forms of leptospirosis	Root	A00-B99	A20-A28	A27	A27.8	A27.89			A2789   Other forms of leptospirosis	0
A279	A27.9	Leptospirosis, unspecified	Root	A00-B99	A20-A28	A27	A27.9				A279    Leptospirosis, unspecified	0
A28	A28	Other zoonotic bacterial diseases, not elsewhere classified	Root	A00-B99	A20-A28	A28					NA	0
A280	A28.0	Pasteurellosis	Root	A00-B99	A20-A28	A28	A28.0				A280    Pasteurellosis	0
A281	A28.1	Cat-scratch disease	Root	A00-B99	A20-A28	A28	A28.1				A281    Cat-scratch disease	0
A282	A28.2	Extraintestinal yersiniosis	Root	A00-B99	A20-A28	A28	A28.2				A282    Extraintestinal yersiniosis	0
A288	A28.8	Other specified zoonotic bacterial diseases, not elsewhere classified	Root	A00-B99	A20-A28	A28	A28.8				A288    Other specified zoonotic bacterial diseases, not elsewhere classified	0
A289	A28.9	Zoonotic bacterial disease, unspecified	Root	A00-B99	A20-A28	A28	A28.9				A289    Zoonotic bacterial disease, unspecified	0
A30	A30	Leprosy [Hansen's disease]	Root	A00-B99	A30-A49	A30					NA	0
A300	A30.0	Indeterminate leprosy	Root	A00-B99	A30-A49	A30	A30.0				A300    Indeterminate leprosy	0
A301	A30.1	Tuberculoid leprosy	Root	A00-B99	A30-A49	A30	A30.1				A301    Tuberculoid leprosy	0
A302	A30.2	Borderline tuberculoid leprosy	Root	A00-B99	A30-A49	A30	A30.2				A302    Borderline tuberculoid leprosy	0
A303	A30.3	Borderline leprosy	Root	A00-B99	A30-A49	A30	A30.3				A303    Borderline leprosy	0
A304	A30.4	Borderline lepromatous leprosy	Root	A00-B99	A30-A49	A30	A30.4				A304    Borderline lepromatous leprosy	0
A305	A30.5	Lepromatous leprosy	Root	A00-B99	A30-A49	A30	A30.5				A305    Lepromatous leprosy	0
A308	A30.8	Other forms of leprosy	Root	A00-B99	A30-A49	A30	A30.8				A308    Other forms of leprosy	0
A309	A30.9	Leprosy, unspecified	Root	A00-B99	A30-A49	A30	A30.9				A309    Leprosy, unspecified	0
A31	A31	Infection due to other mycobacteria	Root	A00-B99	A30-A49	A31					NA	0
A310	A31.0	Pulmonary mycobacterial infection	Root	A00-B99	A30-A49	A31	A31.0				A310    Pulmonary mycobacterial infection	0
